Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a0429f2d2de411216dbbfa1583165066499fddcf6a40e8748f7e134ea362bc05,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.324337,53.089017,On or near PARK LANE,E01019499,Bolsover 010A,Further investigation is not in the public interest
e38ec738a0c38071758819630cb5a635d8214180ea5f567048b1a783371a2d4e,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.405556,52.924613,On or near BRECON CLOSE,E01013596,Derby 010C,Investigation complete; no suspect identified
149355ca6ec7eaebce21bffd35ccb0cfeb8422cd0c8e56f0344ef3c15a66b277,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.393400,53.043993,On or near THE PADDOCKS,E01019457,Amber Valley 005F,Local resolution
52420c0d71c45b3b0efadc65524632faa69ec631a9961b1e89a2cf8057c71b31,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.457967,52.897824,On or near Supermarket,E01013591,Derby 026F,Investigation complete; no suspect identified
98543fee3bedf7eb02f1467829048b966001f4850b3404c45b4be4bd6c152866,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.469452,52.894639,On or near OAKTREE AVENUE,E01013584,Derby 029A,Unable to prosecute suspect
45dec45d6033be3f61255ecb7abca7f3f84ad9441165a5571bdeef608f746086,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.522949,53.004230,On or near NETHER LANE,E01019405,Amber Valley 007A,Suspect charged
ead9d88fdc9f827ef2ddb70eece5c25a0680dbfcc77d59d72e59b6f927535cde,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.452058,53.022092,On or near OPENWOODGATE,E01019410,Amber Valley 011A,Investigation complete; no suspect identified
cc3ade15f684c11c97eceeb2902e51b34d1c111e335272c3fd80294998c1be49,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.483074,52.910359,On or near HOWARD STREET,E01013483,Derby 016B,Offender given a drugs possession warning
c77b709a301acc1e58cfb59d9eb0d3361790a229ddd3f7b32ec03788481fb969,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.462887,52.895464,On or near OSMASTON PARK ROAD,E01013584,Derby 029A,Unable to prosecute suspect
cb519916738fe2737fc2ba59b1d4b4b725fcfe9e23341687b866dc9359fd443f,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.342673,53.106630,On or near Parking Area,E01019516,Bolsover 009D,Investigation complete; no suspect identified
cb06be7d88abad1ee3d82d8858e8b6d4dd4d78a01ba62f2dbed224edc851f501,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.209953,53.283377,On or near MASON STREET,E01019524,Bolsover 002C,Local resolution
8a1b665e55455c250c9d4e129d2bd1529df1704f84c45c13a261e3429be86f02,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.670221,53.206057,On or near HADDON DRIVE,E01019601,Derbyshire Dales 003B,Unable to prosecute suspect
048f53b196129f66e226d21c20fcdb6b5487f998df253d64a7b7bc4a811d38ea,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.497137,52.924856,On or near HANDFORD STREET,E01013547,Derby 011A,Unable to prosecute suspect
7f91add2aee741073cd05a53e2c0829378c7b1cd0ebbed09ca1c2781bcd8f7bd,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.333889,53.295028,On or near HAGUE LANE,E01019815,North East Derbyshire 014C,Investigation complete; no suspect identified
b0ffa444db83c95a59333dac602cd07ff91cfc510972053815f3c61a7e10d71f,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.479366,52.908320,On or near CHARLOTTE STREET,E01013566,Derby 016E,Unable to prosecute suspect
e1c0280d6e171a2d063ba9ab5576c8b6fbd2b2373a7f8750419dae09dfa8b422,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.364700,53.020759,On or near HEANOR ROAD,E01019433,Amber Valley 012B,Offender given a caution
28814b7a18959f620cc794c4dee14ff1d4a2577cbba0b067179c7758af05369d,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.900750,53.260998,On or near BENCH ROAD,E01019760,High Peak 011D,Unable to prosecute suspect
962bc1779f5f95f84bb0c9f64b98710d446612d044795cc96cc322ffbddc9da2,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.474001,52.921601,On or near Shopping Area,E01013479,Derby 013F,Unable to prosecute suspect
18cf5c2927d6100d1d008427431f3c95d10aba5625d11957fe5b0f42ec15b92e,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.376600,53.043277,On or near WHITE GATES,E01019420,Amber Valley 005A,Unable to prosecute suspect
f73510e3b545da68b5b98543901b25910f9e3720aa0da9085ba398e7adaa23da,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.469846,52.928154,On or near D DIVISION POLICE HEADQUARTERS,E01013523,Derby 008B,Further investigation is not in the public interest
dcdf0a8e0f866b0ce2a3312545e46f51669e0514c9b7d005e0c32005f79ddcba,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.479785,52.886972,On or near WORDSWORTH DRIVE,E01013584,Derby 029A,Investigation complete; no suspect identified
d4720090071cb1e29d6e8337346d64a84f41bbb66853bfb245c7363f8cef6dbb,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.497255,52.926187,On or near SURREY STREET,E01013547,Derby 011A,Suspect charged
8cafb8898f322bb5f4e5898666697ca2bd21c70fbc47e07aeb80f68ecb95992f,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.256849,52.892673,On or near CLIFTON AVENUE,E01019681,Erewash 014E,Unable to prosecute suspect
5c427b6c826c5bee138bb61d97903a5a36a4c079abc1e052dae780f7270401b9,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.560646,52.735475,On or near HALL CROFT AVENUE,E01019872,South Derbyshire 011F,Unable to prosecute suspect
747262979e0d4b6931f1c212170856fa735b37fca1fccc708671183587ace1c2,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.457804,52.914444,On or near PINNACLE WAY,E01033172,Derby 024F,Suspect charged
b34863d03deba6631efb6a779bb8a606de5ae13285d4cb62e603486029562bc0,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.487500,52.913354,On or near LORNE STREET,E01013456,Derby 013C,Suspect charged
37a54cb994052aad73d9a4aa4e3c87cfa2c056af73623fb3bf2f0d6af28a7f26,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.464495,52.902447,On or near COTTON LANE,E01013590,Derby 026E,Unable to prosecute suspect
82fc89473e048915e726366d17e985b10bbba5922ecb31cfe17cb909667a86fb,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.317757,53.301885,On or near COLLEGE ROAD,E01019815,North East Derbyshire 014C,Suspect charged
2eb68155898305c2f016b2032c0eec3e64aca6564312047b1bd66eccac5cb5ec,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.422943,53.251967,On or near LOCKOFORD LANE,E01019569,Chesterfield 007B,Unable to prosecute suspect
6190534830c100b273d37894240b0dc874a4c87dcfaae62b70298dbb04d7aea4,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.481308,52.938713,On or near Parking Area,E01013527,Derby 005B,Unable to prosecute suspect
ee5aacfe18ae7928f824ec78f0907c8acacf201773ba446b20b2a3fd57c3f78f,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.456321,53.030481,On or near WHITEMOOR HALL,E01019412,Amber Valley 009C,Further investigation is not in the public interest
7a3b810d615b2d92b63e57e723af9b10477bbf0b66229bd5155d1c908de5d371,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.476030,52.905042,On or near PEAR TREE POLICE STATION,E01013484,Derby 018C,Unable to prosecute suspect
44486f78b53e6b9bf15175d421602ecedeb2659344efe57b621cef72f6dfb8c0,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.426771,53.239177,On or near Theatre/Concert Hall,E01019579,Chesterfield 010D,Unable to prosecute suspect
a576b920463c4356811ec262df5a486299eaed86c65b4b7ac89d2940cb265ed0,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.950670,53.443831,On or near RAILWAY STREET,E01019739,High Peak 003B,Unable to prosecute suspect
70a00bad923fb0446c0d60b14621f2e8bf131891410332c8983c7984ab8e73d0,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.363778,53.020664,On or near Petrol Station,E01019433,Amber Valley 012B,Investigation complete; no suspect identified
cc9fbd114719a44621f46926118f91e2e0542d97d08c5fc7b8a1bfca7416d0a9,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.371985,53.151429,On or near Sports/Recreation Area,E01019813,North East Derbyshire 011E,Investigation complete; no suspect identified
e3426a1aa92c6536fd21aa04b4de02af264e95ea2522cb5a1f0b1a622d67ef7d,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.442229,53.236095,On or near STERLAND STREET,E01019554,Chesterfield 010B,Investigation complete; no suspect identified
078fa25c8a94d97ee5684df53e4b9726999cdc95956dc26162467fd294a6b3f3,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.439874,53.235149,On or near TAP LANE,E01019556,Chesterfield 010C,Investigation complete; no suspect identified
cc5b8b74110757d969319393e97776f59c31fd0004fc100b8d07e416eb6e439c,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.329291,53.021005,On or near BRIDGE STREET,E01019453,Amber Valley 017D,Local resolution
d8e6c091266fe92c3194cce8a0dd3969c7c0e17d5932f0145eec625734b341ba,2017-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.207762,53.285852,On or near GREENWAY,E01019524,Bolsover 002C,Investigation complete; no suspect identified
