Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ef1c06dd33641f76bbbc656966bca35995457bfb75e80d8e1b638768e6b2bffb,2017-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
50bbfb4a50001f0b89f389a5299477f40a0692b47f02783cc9b0ebaa7f10f4bd,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.285537,52.628131,On or near A147,E01026822,Norwich 007A,Investigation complete; no suspect identified
97d1f40b856245711390c7842a2981c1178e3ceee5e9b88f27255afce7238d34,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.282061,52.632832,On or near DEREHAM ROAD,E01026824,Norwich 007C,Investigation complete; no suspect identified
4c9017a7b44c139ea68f6122c77b165b5f55914bafc9a94d98a46b8bd5d69783,2017-01,Norfolk Constabulary,Norfolk Constabulary,0.537686,52.458172,On or near STATION ROAD,E01026648,King's Lynn and West Norfolk 019A,Investigation complete; no suspect identified
4138ac26f6bc373fda96d58556188fb37200a4791c7e357f70b74700aa389f78,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.409494,52.710652,On or near RIVERSIDE ROAD,E01026744,North Norfolk 014A,Investigation complete; no suspect identified
3d4ab4f0372f576f5d343ce3254dbc981d82473bc9e3abf457eb4f0991211283,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.289074,52.623869,On or near ST STEPHENS SQUARE,E01026855,Norwich 011D,Investigation complete; no suspect identified
045ecdf3d99c17494830af41596821ea953500f2557b408dbf1fefdf8383860b,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.731157,52.619111,On or near ARUNDEL ROAD,E01026599,Great Yarmouth 004A,Investigation complete; no suspect identified
c7033092dc535426d88220dce6ac5b67e42ada04e8fc93aee07d3bd10ad618f7,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.488715,52.846204,On or near PRIORY CLOSE,E01026752,North Norfolk 007D,Investigation complete; no suspect identified
2a957c0a8fff94c9200d2f8b3345a7040594b13d1b7baa5e5e7bb3a23de9d85a,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.306923,52.624010,On or near ALBION WAY,E01033441,Norwich 014D,Investigation complete; no suspect identified
38bec927d730867392c269819e8efc89b3f4d25456d24710e5983c17e60e7632,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.314785,52.631822,On or near CAMP GROVE,E01026850,Norwich 015C,Investigation complete; no suspect identified
9947eee0418e9899253512eca78fc1229fe13d8cf9269e379797d0da1aa41e69,2017-01,Norfolk Constabulary,Norfolk Constabulary,0.525606,52.799211,On or near Park/Open Space,E01026718,King's Lynn and West Norfolk 004D,Investigation complete; no suspect identified
5dbac60a0d6289f8b53021cd23d8dd1d744824727f3b45b829982ba7351d2f83,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.300236,52.613315,On or near SUNCROFT,E01026819,Norwich 013D,Investigation complete; no suspect identified
c9aa9a04e9045b2f4dd5ff96f18bb353246e38b0f3b6fd0743a70fc3258865ca,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.300319,52.629726,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
4ac0517d86341b0caa8aedd0d97909a094c1d16d9f409d4bf22c981833a9a065,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.217538,52.687953,On or near STEEPLE CHASE,E01026518,Broadland 007A,Investigation complete; no suspect identified
e1059215e27f83d658b12a8688e25cf0e2e481e0f2aed2c7add9fbd6bb1fdbd3,2017-01,Norfolk Constabulary,Norfolk Constabulary,0.430771,52.773561,On or near HALL ROAD,E01026672,King's Lynn and West Norfolk 006D,Investigation complete; no suspect identified
0903c0c4160caa14ec374b202547ae0a509f9ddaab6bc81bfc89df2d4ab960e7,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.737133,52.617969,On or near MARINE CRESCENT,E01026639,Great Yarmouth 004B,Investigation complete; no suspect identified
b194f99bb534360cb4adfd6c0f2d4643309408e432690d0425aa50a10ccac998,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.298223,52.619360,On or near HOBART LANE,E01026816,Norwich 013A,Investigation complete; no suspect identified
a4eaf592d7c430dfd858638d90ba37c03b8342269259134efe594c97fa669abb,2017-01,Norfolk Constabulary,Norfolk Constabulary,1.412449,52.712078,On or near CHURCH ROAD,E01026744,North Norfolk 014A,Investigation complete; no suspect identified
9caa6de7bf5adcaaafb80c9b940b24f6e324855d2c750b19978e7a78c40cd81b,2017-01,Norfolk Constabulary,Norfolk Constabulary,0.951233,52.681155,On or near CROWN ROAD,E01026429,Breckland 003B,Investigation complete; no suspect identified
5cc851b036177755cb6c54aaa74c790f784f108a5b1856d6d5daf2b83c1e18a1,2017-01,Norfolk Constabulary,Norfolk Constabulary,0.552129,52.524854,On or near GLOBE STREET,E01026651,King's Lynn and West Norfolk 019D,Investigation complete; no suspect identified
63cdb28744e41ff1a658ab93cf3137f25364dfb6464b951cc6921672f1b42098,2017-01,Norfolk Constabulary,Norfolk Constabulary,0.224595,52.605268,On or near ELDERBERRY PLACE,E01026715,King's Lynn and West Norfolk 016D,Investigation complete; no suspect identified
a1e945781eeeff1574bca35e16128a399a454cca405d886b6529c48763bac163,2017-01,Norfolk Constabulary,Norfolk Constabulary,0.688555,52.648669,On or near A1065,E01026455,Breckland 007A,Investigation complete; no suspect identified
