Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eeb981ab27d3aa0354663b8e992388497086a676573062ae9fed670e2a08a8f0,2017-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
100b26e7d690f017dbbbd02a7497e6a235ee77ef8be899e7afa43c227f5135ec,2017-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Suspect charged
396fe1f34a2ee673e6f819fe410e23f280a9170fc1a07747c39f33e7c696ad94,2017-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Local resolution
38bcbf01ab86d0f8e14b1bf4afcae35c1aa1ed460981a624b52799afe722815c,2017-01,North Yorkshire Police,North Yorkshire Police,-1.539546,53.988931,On or near Parking Area,E01027678,Harrogate 015E,Unable to prosecute suspect
38bcbf01ab86d0f8e14b1bf4afcae35c1aa1ed460981a624b52799afe722815c,2017-01,North Yorkshire Police,North Yorkshire Police,-1.539546,53.988931,On or near Parking Area,E01027678,Harrogate 015E,Unable to prosecute suspect
0d52baa223645c78f54ec3966c7f2ee4d0e25bc7ae327f99543da3277b67d09b,2017-01,North Yorkshire Police,North Yorkshire Police,-1.525277,54.138538,On or near ST WILFRID'S ROAD,E01027713,Harrogate 002B,Suspect charged
0d52baa223645c78f54ec3966c7f2ee4d0e25bc7ae327f99543da3277b67d09b,2017-01,North Yorkshire Police,North Yorkshire Police,-1.525277,54.138538,On or near ST WILFRID'S ROAD,E01027713,Harrogate 002B,Suspect charged
45484987b4106e4367a7b13370b64568d0d8699ecc172f29e2e38ee55d3a9679,2017-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
aa2ad1ccffa14208bd66879569dfd18fb4d69c1341a07618664c1a3b84735fb4,2017-01,North Yorkshire Police,North Yorkshire Police,-7.406466,54.330710,On or near MONMURRY ROAD,,,Unable to prosecute suspect
1e9129a2752146a41dbcc3cc1ff9989c7f757c425ad783c01bbb39913f76b32b,2017-01,North Yorkshire Police,North Yorkshire Police,-1.085582,53.962625,On or near Parking Area,E01013366,York 013A,Investigation complete; no suspect identified
6373fe5e27505fa444b42d101bc5bb03dfe38e36366fb572d89afdd7050a17cc,2017-01,North Yorkshire Police,North Yorkshire Police,-1.540959,53.978286,On or near VERITY WALK,E01027718,Harrogate 020F,Investigation complete; no suspect identified
d527212d8d972c5676a9948e9924ecd5baf304bcef2d740f6123895836ed47cb,2017-01,North Yorkshire Police,North Yorkshire Police,-0.440787,54.279359,On or near Park/Open Space,E01027873,Scarborough 009F,Investigation complete; no suspect identified
b6bb19c5324dd8cba6d6860bd933b47be7e572074dfc373b9b810d1a306ed097,2017-01,North Yorkshire Police,North Yorkshire Police,-1.083692,53.959834,On or near Shopping Area,E01013366,York 013A,Suspect charged
b6bb19c5324dd8cba6d6860bd933b47be7e572074dfc373b9b810d1a306ed097,2017-01,North Yorkshire Police,North Yorkshire Police,-1.083692,53.959834,On or near Shopping Area,E01013366,York 013A,Suspect charged
