Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e5a347c124bbac6142fe07c0b9dce59a05d156dace4fbe7da82fac28b589ace5,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
73d76208a2d1a540fbc3621e591ff1eca45d038a0da4224e8c8eeb73dbf5c3cb,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
c41855a6607726a3e565533dca39366026e747c1dc559957da92aa1cd53af4ed,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
0b59b72e5b6277298240498ba67682e1b4f42e0e4a3b75f65e3547b99e15823f,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
ea0bf314826cb096e840d87bd6799094ca583db956d54e979f6dd37d0348614f,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
af1d40060e2b72990cc4efeae5d68e4c06c8a75fbe1164a9b7a65fe88362d9cc,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
89d66ff8cfcf8c2b7dee02203a8bd12f6222b5a2154e2f703810f40517d1e390,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
94aca6b2bb0cfa503b1a662758ebccf8391d6ae75f02cc24a155fa0e38097aa2,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
50a550aa242bc2f4f44b5bee664185b2d0959962d83619039eac3b25acf73d4a,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
25693e15794be50c92c86f8253d748bdb90fef91cd24d56442b42a1b942ffbae,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
2c261594f0abf1557aa09110af10daab70725a44f0b70976f7f495cd0d7f7419,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
7cf54b906e9c22cf38b7a0ba0b1ada7ece0beddd95319fe0be76cced77fa6a9a,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
6ed9248d9f819efa90eecf7bf40b98a843e4285d5ec4d4efa74ade5370509dbd,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
49908d41a17928c02998492947b8417079268430090dfa361f3821e7bdeadc08,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
