Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2d90f9feb67c84133677d3d8057b86d74494b27b2f4c12062d3d3a5d506c5571,2017-02,Gwent Police,Gwent Police,-2.757019,51.593210,On or near MAPLE CLOSE,W01001551,Monmouthshire 010C,Defendant found not guilty
01744583fd4b87147c872841007597e8065c938ea6c76b471e881930ff4e35cb,2017-02,Gwent Police,Gwent Police,-3.100845,51.608246,On or near TREDEGAR STREET,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
611085ea627dba062b8b9c9f4259e6e19079d8b390a909cdf8bc53ec3e3d5350,2017-02,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
22116df25982f43ced8b9340b4fc2d383bfdc5fe465c345d56965dfc7ee14105,2017-02,Gwent Police,Gwent Police,-3.046520,51.655410,On or near USK COURT,W01001536,Torfaen 009C,Unable to prosecute suspect
9192f236836ed302c6a4a9fbfe439c0acfa7b97dd36e9b4e2a1d58808a7b3a76,2017-02,Gwent Police,Gwent Police,,,No location,,,Suspect charged
eaa0ffa4d41aa4320fc14f73f8d23b7e49f4706d39879d617725c9c35433cd52,2017-02,Gwent Police,Gwent Police,-2.963680,51.583485,On or near SOMERTON LANE,W01001643,Newport 013B,Suspect charged
e779a398eb6cbdfd3141cb4f30992ef660624678c7eb30274633bd2904f84fe9,2017-02,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Offender given community sentence
537869258b89e5a39b955937afafe6779c1424fa03956afb4450d5913d21a920,2017-02,Gwent Police,Gwent Police,-3.128319,51.724328,On or near RICHMOND ROAD,W01001476,Blaenau Gwent 009D,Offender given community sentence
1405bd46157cebc93b3124b9ba5b4613b9e03a6601e203e12bb5bac353f23a84,2017-02,Gwent Police,Gwent Police,-3.223705,51.792014,On or near Petrol Station,W01001438,Blaenau Gwent 004A,Offender sent to prison
1cb8a6bf2c5f778624592b1318f14359ec1884f7739ebc40bc46674ced2f6089,2017-02,Gwent Police,Gwent Police,-2.963680,51.583485,On or near SOMERTON LANE,W01001643,Newport 013B,Offender given community sentence
15062c553d4a04f73d4f431751218b0b7bd90fe77a56c9759e0cd669cd5db31b,2017-02,Gwent Police,Gwent Police,-2.671898,51.640699,On or near STATION ROAD,W01001587,Monmouthshire 008C,Offender sent to prison
76ec6f073dd418484f545ed96ea17f27759b958f40715005e008e45f32a8c97a,2017-02,Gwent Police,Gwent Police,-2.997033,51.589977,On or near Parking Area,W01001685,Newport 014B,Offender given community sentence
c5055e0ba3465ccf42214ff06f7d127db44b19aeadbec32d52d23e5236462b30,2017-02,Gwent Police,Gwent Police,-3.066287,51.725833,On or near MANOR ROAD,W01001486,Torfaen 002E,Offender given community sentence
2b3e27fbf8695838109ec1b06661b9f3ea84d0ee42472d08cf0d4188ed6d2886,2017-02,Gwent Police,Gwent Police,-3.206419,51.781062,On or near MARKET SQUARE,W01001461,Blaenau Gwent 007F,Offender given community sentence
4aed6d55ec83c9096cd44c441d9e113184ba66193d60016126deef65fecdf365,2017-02,Gwent Police,Gwent Police,-3.030330,51.784059,On or near Park/Open Space,W01001564,Monmouthshire 003D,Court case unable to proceed
1f9438dae5294bea0c9c17e6a417dcb7042b7aaeddd08513fd4be44e47df38dc,2017-02,Gwent Police,Gwent Police,-3.006454,51.666766,On or near SPRINGFIELD CLOSE,W01001510,Torfaen 005A,Court case unable to proceed
05359f8e385e0d4e95ecc18bd967abafcefc19b8d7ad3aea76110896a41f3314,2017-02,Gwent Police,Gwent Police,-2.992290,51.584290,On or near Theatre/Concert Hall,W01001687,Newport 014D,Offender sent to prison
167ee4790da334a03e345978ecb8accbd47d13c4089657e486d2280fb5ccf64b,2017-02,Gwent Police,Gwent Police,-3.269611,51.601803,On or near BRYN ABER,W01001333,Caerphilly 018D,Offender sent to prison
fb126a307ed92c51d283bf8305e132283d38760a5e1417bb144ef2b89c32fffc,2017-02,Gwent Police,Gwent Police,-2.975583,51.583944,On or near WEDNESBURY STREET,W01001644,Newport 013C,Defendant found not guilty
acca507f0bc72011cccee9c17a1ae5b43408d7c9b4255082d796f295b674b175,2017-02,Gwent Police,Gwent Police,-3.216064,51.576132,On or near NORTH VIEW TERRACE,W01001422,Caerphilly 022F,Offender ordered to pay compensation
